,Unnamed: 0,acc_phone_x,acc_phone_y,acc_phone_z,gyr_phone_x,gyr_phone_y,gyr_phone_z,mag_phone_x,mag_phone_y,mag_phone_z
0,1970-01-01 00:00:00.000,-1.417739837398374,2.066927642276423,9.340162601626016,-0.0460377510040161,-2.314883534136546,-1.2710345381526105,15.768,-4.6720000000000015,-32.276
1,1970-01-01 00:00:00.500,2.7663124,1.5628932,5.1352535999999995,-0.58156718875502,-0.6308020481927713,3.2713694779116462,-13.25,11.608,-24.522
2,1970-01-01 00:00:01.000,7.423108870967741,-12.551693548387096,4.188782258064516,0.04753669354838695,0.16512556451612895,-0.09245915322580643,8.233999999999998,31.848000000000003,-17.331999999999994
3,1970-01-01 00:00:01.500,1.39823324,-10.935696,2.24960036,-0.9148476,0.29595656000000004,-1.12264,12.704,34.742,0.348
4,1970-01-01 00:00:02.000,5.9845160642570265,-7.490722891566264,-2.0178582329317267,0.279474508,-0.7364351999999998,-0.36153228,-1.09,37.216,8.458
5,1970-01-01 00:00:02.500,5.7324372000000015,-7.303652,-1.5369319600000002,0.9632906,0.26958768,0.78381944,-3.14,37.212,-0.29600000000000004
6,1970-01-01 00:00:03.000,2.71484,-8.711319999999999,0.9539708,-0.140915140562249,-0.011829116465863451,0.1842258232931727,4.684,36.332,-11.356
7,1970-01-01 00:00:03.500,2.1220208,-9.29452,0.64285644,-0.238248052,0.606448,0.24812012000000006,8.64,36.666,-10.428
8,1970-01-01 00:00:04.000,1.8850664,-10.30164,0.3124484,0.1959807048,-0.49967159999999994,0.19265894,14.183673469387756,37.62040816326532,-5.493877551020407
9,1970-01-01 00:00:04.500,0.46892236,-9.72592,0.53299336,0.15834908,-0.09769204000000002,0.259173624,14.299999999999995,35.35599999999999,-10.891999999999998
10,1970-01-01 00:00:05.000,-0.0018228000000000012,-9.5378,2.14428,-0.06980213199999998,0.46180336,-0.29727548000000004,15.895999999999999,32.368,-14.988
11,1970-01-01 00:00:05.500,0.679556,-9.58264,1.23340272,-0.060536880000000064,0.5119600000000001,-0.042744624,15.014000000000001,33.212,-13.074000000000005
12,1970-01-01 00:00:06.000,-0.3866285140562249,-10.399357429718878,2.02982859437751,0.5283772690763052,-0.21949477911646587,0.167238875502008,15.848000000000004,26.46,-16.555999999999997
13,1970-01-01 00:00:06.500,-0.4693732,-8.922279999999997,2.9662384000000004,-0.7728238076,-1.7793148,0.27503528,9.47,19.422,-19.864
14,1970-01-01 00:00:07.000,0.46604516,-10.47816,1.42784332,1.1972237479999999,-0.1089046,0.08656283200000002,-2.7460000000000004,22.33,-11.284
15,1970-01-01 00:00:07.500,-0.4432428400000001,-8.2636,3.67637516,-0.72501048,-0.7583520000000001,0.016967279999999973,-3.676,17.378,-19.584
16,1970-01-01 00:00:08.000,0.5825840000000001,-9.674920000000002,1.07063844,0.5955332,0.00030000000000006817,0.068923792,-7.508000000000001,24.530000000000005,-7.022
