,acc_phone_x,acc_phone_y,acc_phone_z,gyr_phone_x,gyr_phone_y,gyr_phone_z,mag_phone_x,mag_phone_y,mag_phone_z
1970-01-01 00:00:00.000,-1.417739837398374,2.066927642276423,9.340162601626016,-0.0460377510040161,-2.314883534136546,-1.2710345381526105,15.767999999999999,-4.672000000000001,-32.275999999999996
1970-01-01 00:00:00.500,2.7663124,1.5628932,5.1352536,-0.58156718875502,-0.6308020481927713,3.2713694779116462,-13.25,11.607999999999999,-24.522
1970-01-01 00:00:01.000,7.4231088709677415,-12.551693548387096,4.188782258064516,0.047536693548386945,0.16512556451612895,-0.09245915322580643,8.233999999999998,31.848,-17.331999999999997
1970-01-01 00:00:01.500,1.39823324,-10.935696,2.24960036,-0.9148476000000001,0.29595656000000004,-1.1226399999999999,12.703999999999999,34.742,0.348
1970-01-01 00:00:02.000,5.984516064257027,-7.490722891566265,-2.0178582329317267,0.279474508,-0.7364351999999998,-0.36153228000000004,-1.09,37.216,8.458
1970-01-01 00:00:02.500,5.732437200000001,-7.3036520000000005,-1.5369319600000002,0.9632905999999999,0.26958768,0.78381944,-3.14,37.211999999999996,-0.29600000000000004
1970-01-01 00:00:03.000,2.71484,-8.711319999999999,0.9539708,-0.140915140562249,-0.011829116465863451,0.1842258232931727,4.684,36.332,-11.356
1970-01-01 00:00:03.500,2.1220207999999996,-9.294519999999999,0.64285644,-0.238248052,0.606448,0.24812012000000003,8.64,36.666,-10.427999999999999
1970-01-01 00:00:04.000,1.8850663999999997,-10.301639999999999,0.3124484,0.19598070480000002,-0.4996716,0.19265893999999997,14.183673469387756,37.62040816326531,-5.493877551020408
1970-01-01 00:00:04.500,0.46892236000000004,-9.725919999999999,0.53299336,0.15834908,-0.09769204000000002,0.259173624,14.299999999999997,35.355999999999995,-10.891999999999998
1970-01-01 00:00:05.000,-0.001822800000000001,-9.5378,2.1442799999999997,-0.06980213199999998,0.46180336,-0.29727548000000004,15.896,32.368,-14.988000000000001
1970-01-01 00:00:05.500,0.679556,-9.58264,1.23340272,-0.06053688000000006,0.51196,-0.042744623999999995,15.014,33.211999999999996,-13.074000000000003
1970-01-01 00:00:06.000,-0.3866285140562249,-10.399357429718878,2.02982859437751,0.5283772690763052,-0.21949477911646587,0.167238875502008,15.848000000000003,26.46,-16.556
1970-01-01 00:00:06.500,-0.4693732,-8.922279999999999,2.9662384000000004,-0.7728238076,-1.7793148,0.27503528,9.47,19.422,-19.864
1970-01-01 00:00:07.000,0.46604516,-10.478159999999999,1.42784332,1.197223748,-0.10890459999999999,0.08656283200000002,-2.7460000000000004,22.33,-11.284
1970-01-01 00:00:07.500,-0.4432428400000001,-8.2636,3.67637516,-0.72501048,-0.7583520000000001,0.016967279999999973,-3.6759999999999997,17.378,-19.584
1970-01-01 00:00:08.000,0.5825840000000001,-9.674920000000002,1.07063844,0.5955332,0.0003000000000000682,0.068923792,-7.508000000000001,24.530000000000005,-7.022
1970-01-01 00:00:08.500,0.4217888,-9.359879999999999,1.23499192,-0.038453999999999995,1.09359668,-0.208848692,0.09000000000000002,21.01,-17.404000000000003
1970-01-01 00:00:09.000,-0.6191518072289158,-10.090562248995985,2.37475827309237,-0.23364522489959852,0.34542959437751003,-0.1524755140562249,7.2620000000000005,24.384,-12.93
1970-01-01 00:00:09.500,0.21150768,-10.531199999999998,1.3787848,0.4933633600000001,0.4580039999999999,0.035203519999999995,13.142000000000003,24.397999999999996,-13.113999999999999
1970-01-01 00:00:10.000,-0.9313469736842105,-9.47232456140351,2.9337210526315785,-1.02152850877193,-0.26299065789473686,-0.11318721052631577,19.15869565217391,25.63478260869565,-12.591304347826084
1970-01-01 00:00:10.500,0.19803895582329314,-10.727751004016062,1.6971044176706827,0.8534835341365462,0.8388658634538153,-0.1996191967871486,20.864,29.958000000000002,-10.311999999999998
1970-01-01 00:00:11.000,-1.9529568,-8.49744,2.8004128,-0.7527572800000001,0.01792227200000002,-0.18865344800000003,24.38,27.69,-14.15
1970-01-01 00:00:11.500,-0.2761648,-10.4108,1.0480196000000002,1.137863668,0.20255935999999997,0.009463360000000013,22.408163265306122,31.338775510204083,-4.169387755102041
1970-01-01 00:00:12.000,-1.64199916,-9.18504,3.0136044,-0.7243364,0.45828972,-0.39596187999999993,24.366000000000003,26.302,-13.272
1970-01-01 00:00:12.500,0.22980480000000011,-9.744720000000001,0.7519568400000001,0.7848370000000001,-0.2101204,0.08201043999999999,23.589999999999996,31.578000000000003,-3.702
1970-01-01 00:00:13.000,-1.6884556,-9.369200000000001,2.42110916,-0.44270928000000004,-0.027021040000000027,-0.30881744,24.88,24.358,-15.249999999999998
1970-01-01 00:00:13.500,-0.9763518875502009,-9.557550200803213,1.0997871485943775,-0.000377510040160733,-0.572387389558233,0.1791504016064257,22.54200000000001,28.576,-9.398
1970-01-01 00:00:14.000,-0.82879964,-9.936279999999998,1.41194372,0.40664500000000003,0.3954128,-0.0012320480000000344,21.451999999999998,23.682000000000002,-11.439999999999998
1970-01-01 00:00:14.500,-1.7701816,-9.72532,2.3851629200000004,-0.9834200000000001,-0.5344372799999999,-0.03863772,23.122000000000003,25.971999999999998,-5.593999999999999
1970-01-01 00:00:15.000,-0.2941393199999999,-10.7998,1.4083607999999999,0.959542,0.70804312,-0.17884492800000001,24.014,31.484,-6.008000000000001
1970-01-01 00:00:15.500,-1.7286583999999998,-8.827720000000001,2.3157532,-1.0499948,-0.6953564,0.090932372,26.316,35.778,-15.302
